doc_id,Title,Author,year,journal,DOI,Url
JBW59H3T,"Endoplasmic reticulum protein 29 (ERp29), a protein related to sperm maturation is involved in sperm-oocyte fusion in mouse","Ying, Xiaoqian; Liu, Yue; Guo, Qiangsu; Qu, Fei; Guo, Wei; Zhu, Yemin; Ding, Zhide",2010,REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,10.1186/1477-7827-8-10,
KQ75UYW3,"Effect of Defolliculation and 17-Alpha-Hydroxy, 20-Beta-Dihydroprogesterone on Cyclic-Amp Level in Full-Grown Oocytes of the Rainbow-Trout, Salmo-Gairdneri","Finet, B.; Jalabert, B.; Garg, Sk",1988,GAMETE RESEARCH,10.1002/mrd.1120190304,
Q4TLLM28,Oviduct binding ability of porcine spermatozoa develops in the epididymis and can be advanced by incubation with caudal fluid,"Pena, Santiago; Summers, Phillip; Gummow, Bruce; Paris, Damien B. B. P.",2015,THERIOGENOLOGY,10.1016/j.theriogenology.2015.01.033,
4PMTLR35,Selective Disruption of Aurora C Kinase Reveals Distinct Functions from Aurora B Kinase during Meiosis in Mouse Oocytes,"Balboula, Ahmed Z.; Schindler, Karen",2014,PLoS GENETICS,10.1371/journal.pgen.1004194,
67CHGYSW,Post-zygotic selection against parental genotypes during larval development maintains all-hybrid populations of the frog <i>Pelophylax esculentus</i>,"Reyer, Heinz-Ulrich; Arioli-Jakob, Christian; Arioli, Martina",2015,BMC EVOLUTIONARY BIOLOGY,10.1186/s12862-015-0404-3,
X6W22GYB,A reference genetic map of <i>C</i>. <i>clementina</i> hort. ex Tan.; citrus evolution inferences from comparative mapping,"Ollitrault, Patrick; Terol, Javier; Chen, Chunxian; Federici, Claire T.; Lotfy, Samia; Hippolyte, Isabelle; Ollitrault, Frederique; Berard, Aurelie; Chauveau, Aurelie; Cuenca, Jose; Costantino, Gilles; Kacar, Yildiz; Mu, Lisa; Garcia-Lor, Andres; Froelicher, Yann; Aleza, Pablo; Boland, Anne; Billot, Claire; Navarro, Luis; Luro, Francois; Roose, Mikeal L.; Gmitter, Frederick G.; Talon, Manuel; Brunel, Dominique",2012,BMC GENOMICS,10.1186/1471-2164-13-593,
BMISEXZZ,GnRH agonist versus GnRH antagonist in assisted reproduction cycles: oocyte morphology,"Cota, Ana Marcia M.; Oliveira, Joao Batista A.; Petersen, Claudia G.; Mauri, Ana L.; Massaro, Fabiana C.; Silva, Liliane F. I.; Nicoletti, Andreia; Cavagna, Mario; Baruffi, Ricardo L. R.; Franco, Jose G.",2012,REPRODUCTIVE BIOLOGY AND ENDOCRINOLOGY,10.1186/1477-7827-10-33,
TQ97AUCB,Yolk protein is expressed in the insect testis and interacts with sperm,"Bebas, Piotr; Kotwica, Joanna; Joachimiak, Ewa; Giebultowicz, Jadwiga M.",2008,BMC DEVELOPMENTAL BIOLOGY,10.1186/1471-213X-8-64,
E6MH42RK,Sperm Diffusion-Models and in-Situ Confirmation of Long-Distance Fertilization in the Free-Spawning Asteroid Acanthaster Planci,"Babcock, Rc; Mundy, Cn; Whitehead, D.",1994,BIOLOGICAL BULLETIN,10.2307/1542033,
LC4EZ75E,Development of a security system for assisted reproductive technology (ART),"Hur, Yong Soo; Ryu, Eun Kyung; Park, Sung Jin; Yoon, Jeong; Yoon, San Hyun; Yang, Gi Deok; Hur, Chang Young; Lee, Won Don; Lim, Jin Ho",2015,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,10.1007/s10815-014-0367-0,
